"";"DATE";"HDenomination";"HMotifs";"CEMotifsDenominations";"NormCEMotifsDenominations"
"Abydus";330;0;0;0;NA
"Acarnanian League ";330;0;0;0;NA
"Alaesa";330;0;1,09861228866811;1,09861228866811;1
"Apollonia Pontica";330;0,689009238476659;0,600166073159646;0,431941154196925;0,719702718154192
"Argos";330;1,32966134885476;1,56071040904141;0,462098120373297;0,296081910965865
"Byzantium";330;1,01140426470735;-2,22044604925031e-16;0;0
"Calchedon";330;1,03972077083992;0;0;NA
"Caria ";330;0,636514168294813;0,636514168294813;0;0
"Carthage";330;1,09861228866811;0,636514168294813;0;0
"Centuripae";330;0;1,38629436111989;1,38629436111989;1
"Cercinitis";330;0;0,693147180559945;0,693147180559945;1
"Chalcedon";330;0;0;0;NA
"Citium ";330;0;0;0;NA
"Elaea";330;0;0;0;NA
"Enna";330;0;0;0;NA
"Ephesus";330;0;0;0;NA
"Epirote Kingdom ";330;0;0;0;NA
"Euboea";330;0;0;0;NA
"Heraclea ";330;0;0;0;NA
"Heraclea Pontica";330;0,636514168294813;0,636514168294813;0,605939156599187;0,951964915757438
"Herbessus";330;0;0;0;NA
"Hipponium";330;0;1,09861228866811;1,09861228866811;1
"Lesbos";330;0;0;0;NA
"Locri";330;0;0,693147180559945;0,693147180559945;1
"Macedonia";330;1,66891766365536;3,92377358523265;2,56028570965958;0,652505975190659
"Metapontum";330;0;0;0;NA
"Morgantina";330;0;1,03972077083992;1,03972077083992;1
"Mytilene";330;0;0,693147180559945;0,693147180559945;1
"Mytistratus";330;0;0;0;NA
"Olbia";330;-2,22044604925031e-16;1,32966134885476;1,32966134885476;1
"Olympia";330;0,693147180559945;0,693147180559945;0;0
"Paeonia ";330;0;0;0;NA
"Panticapaeum";330;0,636514168294813;1,09861228866811;0,462098120373297;0,420619835714305
"Petra";330;0;0;0;NA
"Phaestus";330;0;0;0;NA
"Philippi";330;0;1,09861228866811;1,09861228866811;1
"Phoenicia ";330;0;0;0;NA
"Rhodes";330;0,562335144618808;1,38629436111989;0,823959216501082;0,594360937770434
"Salamis ";330;0,693147180559945;0,693147180559945;0;0
"Sicily ";330;0;0;0;NA
"Sidon ";330;0;0;0;NA
"Sinope";330;0,673011667009256;1,33217904021012;0,659167373200866;0,494803891447576
"Syracuse";330;0,60192397173229;2,42601513195981;1,82409116022752;0,751887791711325
"Tarentum";330;0;2,5126585295298;2,5126585295298;1
"Tarsus";330;0;0;0;NA
"Thessalian League ";330;0;0,693147180559945;0,693147180559945;1
"Thrace";330;0;1,09861228866811;1,09861228866811;1
"Velia";330;0;0;0;NA
"Abydus";350;0;0;0;NA
"Acarnanian League ";350;0;0;0;NA
"Alaesa";330;0;1,09861228866811;1,09861228866811;1
"Apollonia Pontica";350;0;0;0;NA
"Argos";330;1,32966134885476;1,56071040904141;0,462098120373297;0,296081910965865
"Byzantium";330;1,01140426470735;-2,22044604925031e-16;0;0
"Calchedon";330;1,03972077083992;0;0;NA
"Caria ";350;0;0;0;NA
"Carthage";350;0;0,673011667009256;0,673011667009256;1
"Centuripae";330;0;1,38629436111989;1,38629436111989;1
"Cercinitis";330;0;0,693147180559945;0,693147180559945;1
"Chalcedon";330;0;0;0;NA
"Citium ";330;0;0;0;NA
"Elaea";330;0;0;0;NA
"Enna";330;0;0;0;NA
"Ephesus";350;0;0;0;NA
"Epirote Kingdom ";330;0;0;0;NA
"Euboea";330;0;0;0;NA
"Heraclea ";330;0;0;0;NA
"Heraclea Pontica";350;0;0;0;NA
"Herbessus";330;0;0;0;NA
"Hipponium";330;0;1,09861228866811;1,09861228866811;1
"Lesbos";330;0;0;0;NA
"Locri";330;0;0,693147180559945;0,693147180559945;1
"Macedonia";350;1,22361930095532;3,28269399727806;2,05907469632275;0,627251488573131
"Metapontum";350;0;0;0;NA
"Morgantina";330;0;1,03972077083992;1,03972077083992;1
"Mytilene";350;0,450561208866305;1,79175946922805;1,34119826036175;0,748537001419939
"Mytistratus";330;0;0;0;NA
"Olbia";330;-2,22044604925031e-16;1,32966134885476;1,32966134885476;1
"Olympia";350;1,03972077083992;1,03972077083992;0,346573590279973;0,333333333333333
"Paeonia ";350;0;0;0;NA
"Panticapaeum";350;0,598269588585257;1,35178399428965;1,1495985088815;0,850430626296628
"Petra";330;0;0;0;NA
"Phaestus";330;0;0;0;NA
"Philippi";350;0,693147180559945;0,693147180559945;0;0
"Phoenicia ";350;0;0;0;NA
"Rhodes";330;0,562335144618808;1,38629436111989;0,823959216501082;0,594360937770434
"Salamis ";330;0,693147180559945;0,693147180559945;0;0
"Sicily ";350;0;0,693147180559945;0,693147180559945;1
"Sidon ";330;0;0;0;NA
"Sinope";350;0,636514168294813;1,09861228866811;0,462098120373297;0,420619835714305
"Syracuse";330;0,60192397173229;2,42601513195981;1,82409116022752;0,751887791711325
"Tarentum";350;0;1,09861228866811;1,09861228866811;1
"Tarsus";350;0,562335144618808;1,03972077083992;0,47738562622111;0,459147917027245
"Thessalian League ";330;0;0,693147180559945;0,693147180559945;1
"Thrace";330;0;1,09861228866811;1,09861228866811;1
"Velia";330;0;0;0;NA
"Abdera";350;0,693147180559945;0,693147180559945;0;0
"Ambracia";350;0,271189373041844;2,45831132968308;2,18712195664124;0,889684691370314
"Amphipolis";350;0,693147180559945;1,38629436111989;0,693147180559945;0,5
"Aspendus";350;0;0;0;NA
"Cappadocia ";350;0;0;0;NA
"Carystus";350;0;0;0;NA
"Chersonesus";350;0,796311640173813;1,27703425946614;0,951556457292944;0,745129936992247
"Cierium";350;0;0;0;NA
"Cilicia ";350;0;0,693147180559945;0,693147180559945;1
"Clazomenae";350;0;0;0;NA
"Crithote";350;0;0;0;NA
"Croton";350;0;0;0;NA
"Cyprus";350;0;0;0;NA
"Dionysius I and Dionysius II";350;0,955699891112534;1,94591014905531;0,990210257942779;0,508867410154317
"Dyrrhachium";350;0,474139313057838;1,46813993901621;0,994000625958371;0,677047602576935
"Elis";350;0,562335144618808;1,38629436111989;0,823959216501082;0,594360937770434
"Epidaurus";350;0;0;0;NA
"Erythrae";350;0;0;0;NA
"Heraclea";350;0,693147180559945;0,693147180559945;0;0
"Heraclea Illyricum";350;0;0;0;NA
"Illyria ";350;0;0,693147180559945;0,693147180559945;1
"Istrus";350;0;0;0;NA
"Lampsacus";350;0;0;0;NA
"Larissa";350;1,09861228866811;0;0;NA
"Locri Opuntii";350;1,2130075659799;1,2130075659799;0,454454367449391;0,37465089270261
"Lucania ";350;0;0;0;NA
"Lycia";350;0,940447988655327;2,30258509299405;1,36213710433872;0,59156862800998
"Mesma";350;0;1,09861228866811;1,09861228866811;1
"Molossi";350;0;0;0;NA
"Nacona";350;0;0;0;NA
"Olynthus";350;0,693147180559945;0;0;NA
"Orthagoreia";350;0;0;0;NA
"Peparethus";350;0;0;0;NA
"Persia";350;0;0;0;NA
"Pharnaceia";350;0;0,693147180559945;0,693147180559945;1
"Pharos (Lesina)";350;0;0;0;NA
"Phocian League ";350;0,636514168294813;0,636514168294813;0,462098120373297;0,725982457878719
"Phocis ";350;0,636514168294813;0,636514168294813;0;0
"Proconnesus";350;0;0;0;NA
"Sicyon";350;0;0;0;NA
"Sigeum";350;0;0,636514168294813;0,636514168294813;1
"Thebes";350;1,09861228866811;0,636514168294813;0;0
"Theodosia";350;0;0;0;NA
"Thurium";350;0;0;0;NA
"Timoleon";350;1,52269992598575;2,61563057702755;1,18535027511646;0,453179545126556
"Zancle-Messana";350;0;0;0;NA
"Abydus";370;0;0;0;NA
"Acarnanian League ";350;0;0;0;NA
"Alaesa";330;0;1,09861228866811;1,09861228866811;1
"Apollonia Pontica";350;0;0;0;NA
"Argos";330;1,32966134885476;1,56071040904141;0,462098120373297;0,296081910965865
"Byzantium";370;1,52295506753132;1,67698777432242;0,308065413582198;0,183701645473636
"Calchedon";370;1,54845383203695;1,44691898293633;0,535975936178396;0,370425671719854
"Caria ";370;1,09861228866811;1,32966134885476;0,462098120373297;0,34753068574288
"Carthage";350;0;0,673011667009256;0,673011667009256;1
"Centuripae";330;0;1,38629436111989;1,38629436111989;1
"Cercinitis";330;0;0,693147180559945;0,693147180559945;1
"Chalcedon";370;0;0;0;NA
"Citium ";330;0;0;0;NA
"Elaea";330;0;0;0;NA
