"";"DATE";"HDenomination";"HMotifs";"CEDenominationsMotifs";"NormCEDenominationsMotifs";"CEMotifsDenominations";"NormCEMotifsDenominations";"MI"
"Abydus";330;0;0;0;NA;0;NA;0
"Acarnanian League ";330;0;0;0;NA;0;NA;0
"Alaesa";330;0;1,09861228866811;0;NA;1,09861228866811;1;0
"Apollonia Pontica";330;0,689009238476659;0,600166073159646;0,520784319513938;0,755845191082413;0,431941154196925;0,719702718154192;0,168224918962721
"Argos";330;1,32966134885476;1,56071040904141;0,231049060186648;0,17376534287144;0,462098120373297;0,296081910965865;1,09861228866811
"Byzantium";330;1,01140426470735;-2,22044604925031e-16;1,01140426470735;1;0;0;0
"Calchedon";330;1,03972077083992;0;1,03972077083992;1;0;NA;0
"Caria ";330;0,636514168294813;0,636514168294813;0;0;0;0;0,636514168294813
"Carthage";330;1,09861228866811;0,636514168294813;0,462098120373297;0,420619835714305;0;0;0,636514168294813
"Centuripae";330;0;1,38629436111989;0;NA;1,38629436111989;1;0
"Cercinitis";330;0;0,693147180559945;0;NA;0,693147180559945;1;0
"Chalcedon";330;0;0;0;NA;0;NA;0
"Citium ";330;0;0;0;NA;0;NA;0
"Elaea";330;0;0;0;NA;0;NA;0
"Enna";330;0;0;0;NA;0;NA;0
"Ephesus";330;0;0;0;NA;0;NA;0
"Epirote Kingdom ";330;0;0;0;NA;0;NA;0
"Euboea";330;0;0;0;NA;0;NA;0
"Heraclea ";330;0;0;0;NA;0;NA;0
"Heraclea Pontica";330;0,636514168294813;0,636514168294813;0,605939156599187;0,951964915757438;0,605939156599187;0,951964915757438;0,0305750116956256
"Herbessus";330;0;0;0;NA;0;NA;0
"Hipponium";330;0;1,09861228866811;0;NA;1,09861228866811;1;0
"Lesbos";330;0;0;0;NA;0;NA;0
"Locri";330;0;0,693147180559945;0;NA;0,693147180559945;1;0
"Macedonia";330;1,66891766365536;3,92377358523265;0,305429788082288;0,183010698930059;2,56028570965958;0,652505975190659;1,36348787557307
"Metapontum";330;0;0;0;NA;0;NA;0
"Morgantina";330;0;1,03972077083992;0;NA;1,03972077083992;1;0
"Mytilene";330;0;0,693147180559945;0;NA;0,693147180559945;1;0
"Mytistratus";330;0;0;0;NA;0;NA;0
"Olbia";330;-2,22044604925031e-16;1,32966134885476;0;0;1,32966134885476;1;0
"Olympia";330;0,693147180559945;0,693147180559945;0;0;0;0;0,693147180559945
"Paeonia ";330;0;0;0;NA;0;NA;0
